run_id,optimizer_model,learner_model,iter,passed,failed,errors,bad,best_bad,t_gen_s,t_pytest_s,t_parse_s,t_prompt_s,t_llm_s,t_total_s,merged_rules_chars,failed_tests
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,16,9,2,0,2,1,431.6123,10.504079,0.000803,1.9e-05,15.503515,457.623265,3922,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,17,11,0,0,0,0,123.14396,0.683895,0.000312,0.0,0.0,123.829098,3922,
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,10,1,0,1,1,211.235723,12.110693,0.000904,2.3e-05,15.090601,238.440291,3712,tests/test_05_episode_progress.py::test_episode_makes_progress
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,9,2,0,2,1,229.116327,13.800924,0.00098,2.2e-05,13.662049,256.585055,3756,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,9,2,0,2,1,239.27375,9.986446,0.001041,2.6e-05,14.280628,263.546493,4124,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,4,9,2,0,2,1,248.577667,11.526762,0.000948,1.8e-05,14.862458,274.973023,4027,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,5,10,1,0,1,1,253.80894,12.722935,0.000973,2.8e-05,13.768138,280.305568,3810,tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,6,9,2,0,2,1,285.869334,9.978669,0.001127,2.4e-05,15.970125,311.823642,4154,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,7,7,4,0,4,1,291.068621,4.401649,0.001204,2.5e-05,9.675014,305.149345,2953,tests/test_03_planner_api_and_validity.py::test_plan_path_returns_pixel_path;tests/test_04_episode_schema.py::test_episode_schema;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,8,9,2,0,2,1,258.298297,8.292799,0.000954,2.6e-05,12.192223,278.787234,3574,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,9,9,2,0,2,1,226.040211,19.709247,0.001035,2.1e-05,14.578099,260.332692,3878,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,9,2,0,2,2,172.830926,8.306249,0.000794,2.4e-05,7.496319,188.636855,2245,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,11,0,0,0,0,201.511492,9.770114,0.001024,0.0,0.0,211.283775,2245,
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,9,2,0,2,2,241.570124,6.20493,0.000739,3.2e-05,9.453113,257.231873,2679,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,9,2,0,2,2,192.978818,11.900723,0.00112,0.0001,13.918003,218.802693,3652,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,9,2,0,2,2,195.686498,10.645163,0.001007,3e-05,18.908372,225.245647,3586,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,4,9,2,0,2,2,239.186907,88.992145,0.001253,2e-05,17.45539,345.640863,3821,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,5,9,2,0,2,2,171.060517,11.516528,0.002018,3e-05,11.694676,194.278006,3312,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,9,2,0,2,2,138.886733,10.284381,0.000841,1.9e-05,11.504985,160.681161,1529,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,10,1,0,1,1,176.711381,9.878955,0.001149,2.5e-05,8.55581,195.151474,1314,tests/test_05_episode_progress.py::test_episode_makes_progress
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,9,2,0,2,1,176.80589,9.247159,0.000994,3.4e-05,7.188444,193.245889,1472,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,4,9,2,0,2,1,133.146885,9.267807,0.001473,2.3e-05,10.502316,152.923925,1772,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,5,9,2,0,2,1,139.381199,9.622872,0.001004,2.4e-05,7.376287,156.38577,1703,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,6,9,2,0,2,1,123.72355,9.5202,0.00102,2.2e-05,7.021654,140.271505,1507,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,8,3,0,3,3,111.390832,20.123554,0.000752,2.4e-05,11.761077,143.279001,1861,tests/test_00_static_contract.py::test_allowed_imports_only;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,9,2,0,2,2,134.551604,15.616143,0.000949,2.8e-05,12.9962,163.168888,2012,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,8,3,0,3,2,121.644187,11.580074,0.000792,1.7e-05,9.375522,142.605847,1938,tests/test_01_occmap2d_safety.py::test_occmap2d_is_safe;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,4,9,2,0,2,2,115.377855,9.951682,0.000863,2.3e-05,13.132195,138.466577,1913,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
